# Tabulated Angle Potential File (Huang Model)


Angle1
N 200 EQ 180.00
187 168.2412 8.7371 -0.5995
188 169.1457 9.4814 -0.6607
189 170.0503 10.2918 -0.7268
190 170.9548 11.1733 -0.7980
191 171.8593 12.1317 -0.8748
192 172.7638 13.1727 -0.9573
193 173.6683 14.3026 -1.0460
194 174.5729 15.5278 -1.1411
195 175.4774 16.8554 -1.2430
196 176.3819 18.2925 -1.3520
197 177.2864 19.8468 -1.4686
198 178.1910 21.5263 -1.5931
199 179.0955 23.3395 -1.7259
200 180.0000 25.2952 -1.8674


Angle4
N 200 EQ 82.97

1 0.0000 1736.8906 100.6078
2 0.9045 1628.8849 95.2314
3 1.8090 1526.5331 90.0873
4 2.7136 1429.5970 85.1679
5 3.6181 1337.8458 80.4658
6 4.5226 1251.0562 75.9738
7 5.4271 1169.0121 71.6846
8 6.3317 1091.5045 67.5914
9 7.2362 1018.3313 63.6873
10 8.1407 949.2972 59.9658
11 9.0452 884.2135 56.4203
12 9.9497 822.8980 53.0445
13 10.8543 765.1748 49.8322
14 11.7588 710.8743 46.7776
15 12.6633 659.8328 43.8746
16 13.5678 611.8924 41.1175
17 14.4724 566.9011 38.5008
18 15.3769 524.7126 36.0191
19 16.2814 485.1858 33.6670
20 17.1859 448.1852 31.4394
21 18.0905 413.5803 29.3314
22 18.9950 381.2458 27.3380
23 19.8995 351.0613 25.4544
24 20.8040 322.9112 23.6761
25 21.7085 296.6845 21.9987
26 22.6131 272.2749 20.4177
27 23.5176 249.5804 18.9289
28 24.4221 228.5034 17.5283
29 25.3266 208.9504 16.2118
30 26.2312 190.8320 14.9757
31 27.1357 174.0629 13.8161
32 28.0402 158.5613 12.7295
33 28.9447 144.2494 11.7124
34 29.8492 131.0529 10.7613
35 30.7538 118.9010 9.8731
36 31.6583 107.7262 9.0445
37 32.5628 97.4646 8.2725
38 33.4673 88.0550 7.5541
39 34.3719 79.4395 6.8866
40 35.2764 71.5634 6.2671
41 36.1809 64.3744 5.6930
42 37.0854 57.8233 5.1617
43 37.9899 51.8634 4.6709
44 38.8945 46.4508 4.2182
45 39.7990 41.5437 3.8012
46 40.7035 37.1031 3.4179
47 41.6080 33.0919 3.0662
48 42.5126 29.4756 2.7440
49 43.4171 26.2214 2.4495
50 44.3216 23.2990 2.1809
51 45.2261 20.6797 1.9363
52 46.1307 18.3368 1.7142
53 47.0352 16.2454 1.5130
54 47.9397 14.3822 1.3311
55 48.8442 12.7256 1.1672
56 49.7487 11.2557 1.0198
57 50.6533 9.9538 0.8877
58 51.5578 8.8029 0.7697
59 52.4623 7.7871 0.6645
60 53.3668 6.8920 0.5712
61 54.2714 6.1043 0.4887
62 55.1759 5.4117 0.4160
63 56.0804 4.8033 0.3522
64 56.9849 4.2688 0.2965
65 57.8894 3.7993 0.2481
66 58.7940 3.3865 0.2062
67 59.6985 3.0230 0.1702
68 60.6030 2.7023 0.1394
69 61.5075 2.4186 0.1132
70 62.4121 2.1666 0.0911
71 63.3166 1.9419 0.0726
72 64.2211 1.7405 0.0573
73 65.1256 1.5591 0.0446
74 66.0302 1.3946 0.0343
75 66.9347 1.2448 0.0260
76 67.8392 1.1075 0.0194
77 68.7437 0.9810 0.0142
78 69.6482 0.8641 0.0102
79 70.5528 0.7558 0.0071
80 71.4573 0.6551 0.0049
81 72.3618 0.5617 0.0032
82 73.2663 0.4752 0.0020
83 74.1709 0.3953 0.0012
84 75.0754 0.3221 0.0007
85 75.9799 0.2557 0.0004
86 76.8844 0.1963 0.0002
87 77.7889 0.1441 0.0001
88 78.6935 0.0993 0.0000
89 79.5980 0.0625 0.0000
90 80.5025 0.0338 0.0000
91 81.4070 0.0137 0.0000
92 82.3116 0.0024 0.0000
93 83.2161 0.0004 -0.0000
94 84.1206 0.0077 -0.0000
95 85.0251 0.0247 -0.0000
96 85.9296 0.0515 -0.0000
97 86.8342 0.0882 -0.0000
98 87.7387 0.1348 -0.0001
99 88.6432 0.1913 -0.0002
100 89.5477 0.2576 -0.0004
101 90.4523 0.3335 -0.0007
102 91.3568 0.4187 -0.0012
103 92.2613 0.5130 -0.0020
104 93.1658 0.6160 -0.0031
105 94.0704 0.7274 -0.0047
106 94.9749 0.8467 -0.0069
107 95.8794 0.9734 -0.0099
108 96.7839 1.1071 -0.0139
109 97.6884 1.2473 -0.0190
110 98.5930 1.3937 -0.0254
111 99.4975 1.5457 -0.0336
112 100.4020 1.7032 -0.0437
113 101.3065 1.8657 -0.0562
114 102.2111 2.0332 -0.0713
115 103.1156 2.2057 -0.0896
116 104.0201 2.3832 -0.1113
117 104.9246 2.5662 -0.1372
118 105.8291 2.7551 -0.1676
119 106.7337 2.9508 -0.2032
120 107.6382 3.1542 -0.2446
121 108.5427 3.3668 -0.2925
122 109.4472 3.5903 -0.3476
123 110.3518 3.8269 -0.4107
124 111.2563 4.0790 -0.4826
125 112.1608 4.3498 -0.5644
126 113.0653 4.6427 -0.6568
127 113.9698 4.9618 -0.7610
128 114.8744 5.3120 -0.8780
129 115.7789 5.6986 -1.0089
130 116.6834 6.1276 -1.1551
131 117.5879 6.6059 -1.3177
132 118.4925 7.1412 -1.4981
133 119.3970 7.7419 -1.6977
134 120.3015 8.4177 -1.9181
135 121.2060 9.1789 -2.1608
136 122.1106 10.0370 -2.4275
137 123.0151 11.0046 -2.7199
138 123.9196 12.0956 -3.0399
139 124.8241 13.3249 -3.3892
140 125.7286 14.7089 -3.7700
141 126.6332 16.2653 -4.1842
142 127.5377 18.0133 -4.6340
